date,g,f,m,i,p,ticker
5/7/2014,0.172,0.856,0.042,0.662,73.8785,WDC
5/8/2014,0.174,0.856,0.042,0.662,74.0913,WDC
5/9/2014,0.176,0.856,0.044,0.662,72.6376,WDC
5/12/2014,0.176,0.856,0.044,0.664,73.0897,WDC
5/13/2014,0.178,0.858,0.038,0.666,73.2138,WDC
5/14/2014,0.178,0.858,0.04,0.666,75.6336,WDC
5/15/2014,0.18,0.858,0.042,0.664,75.607,WDC
5/16/2014,0.178,0.86,0.046,0.664,76.1476,WDC
5/19/2014,0.178,0.858,0.046,0.664,75.6158,WDC
5/20/2014,0.176,0.86,0.046,0.662,74.3129,WDC
5/21/2014,0.176,0.86,0.044,0.664,74.1533,WDC
5/22/2014,0.176,0.86,0.042,0.664,74.1356,WDC
5/23/2014,0.176,0.86,0.04,0.666,75.1904,WDC
5/26/2014,0.174,0.86,0.04,0.664,75.1904,WDC
5/27/2014,0.172,0.858,0.04,0.664,77.4861,WDC
5/28/2014,0.174,0.858,0.044,0.662,77.2911,WDC
5/29/2014,0.174,0.858,0.044,0.662,77.229,WDC
5/30/2014,0.174,0.856,0.044,0.662,77.8672,WDC
6/2/2014,0.174,0.854,0.046,0.66,77.6988,WDC
6/3/2014,0.176,0.854,0.046,0.662,77.9026,WDC
6/4/2014,0.178,0.854,0.046,0.662,79.0195,WDC
6/5/2014,0.178,0.854,0.048,0.662,81.5013,WDC
6/6/2014,0.178,0.854,0.064,0.656,81.6874,WDC
6/9/2014,0.178,0.854,0.062,0.656,81.2265,WDC
6/10/2014,0.178,0.854,0.066,0.656,80.4642,WDC
6/11/2014,0.176,0.854,0.064,0.656,80.3933,WDC
6/12/2014,0.176,0.854,0.064,0.656,79.5424,WDC
6/13/2014,0.176,0.854,0.06,0.656,81.652,WDC
6/16/2014,0.176,0.852,0.066,0.654,81.067,WDC
6/17/2014,0.176,0.852,0.064,0.654,81.8292,WDC
6/18/2014,0.176,0.852,0.066,0.654,82.4231,WDC
6/19/2014,0.176,0.852,0.064,0.654,80.9074,WDC
6/20/2014,0.174,0.852,0.06,0.656,81.067,WDC
6/23/2014,0.174,0.854,0.06,0.656,81.1822,WDC
6/24/2014,0.174,0.854,0.06,0.656,80.3224,WDC
